Comment,Designator,Footprint,LCSC,Quantity
1k,"R10,R17",R_0402_1005Metric,C11702,2
100n,"C1,C2,C22,C23,C3,C4,C5,C6,C7,C8",C_0402_1005Metric,C1525,10
5p,"C19,C20",C_0402_1005Metric,C1570,2
B5819WS,"D2,D3",D_SOD-323,C191023,2
RP2040,U3,RP2040-QFN-56,C2040,1
2.2uF,C11,C_0603_1608Metric,C23630,1
4.7u,"C16,C17,C18,C21",C_0603_1608Metric,C23733,4
220,"R12,R13,R14",R_0402_1005Metric,C25091,3
22,"R11,R16,R18,R4,R5",R_0402_1005Metric,C25092,5
10k,R9,R_0402_1005Metric,C25744,1
390K,R15,R_0402_1005Metric,C25782,1
4.7K,"R6,R7,R8",R_0402_1005Metric,C25900,3
5.1k,"R2,R3",R_0402_1005Metric,C25905,2
LY68L6400SLIT,U4,SOIC-8_3.9x4.9mm_P1.27mm,C261881,1
USB_C_Receptacle_USB2.0,J3,USB_C_Receptacle_HRO_TYPE-C-31-M-12,C2765186,1
1N4148WT,D4,D_SOD-523,C27748,1
W25Q16JVUXIQ,U5,USON-8_2x3mm_P0.5mm,C2843335,1
OLED-128O064D,DS1,GC_OLED_096,C2890596,1
USER1,"SW1,SW2,SW3",SW-SMD_TS24CA,C393942,3
1u,"C10,C12,C13,C14,C15,C9",C_0402_1005Metric,C52923,6
XC6206P332MR,U2,SOT-23,C5446,1
12 Mhz,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C9002,1
TF-01A,Card1,TF-SMD_TF-01A,C91145,1
TestPoint,TP5,TestPoint_Pad_D1.0mm,,1
~,J2,GC_MEMCARD,,1
TestPoint,TP4,TestPoint_Pad_D1.0mm,,1
TestPoint,TP7,TestPoint_Pad_D1.0mm,,1
TestPoint,TP8,TestPoint_Pad_D1.0mm,,1
TestPoint,TP1,TestPoint_Pad_D1.0mm,,1
TestPoint,TP2,TestPoint_Pad_D1.0mm,,1
TestPoint,TP6,TestPoint_Pad_D1.0mm,,1
TestPoint,TP3,TestPoint_Pad_D1.0mm,,1
TestPoint,TP10,TestPoint_Pad_D1.0mm,,1
TestPoint,TP9,TestPoint_Pad_D1.0mm,,1
TestPoint,TP14,TestPoint_Pad_D1.0mm,,1
TestPoint,TP13,TestPoint_Pad_D1.0mm,,1
TestPoint,TP12,TestPoint_Pad_D1.0mm,,1
TestPoint,TP11,TestPoint_Pad_D1.0mm,,1
